Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Ticket_number,Ticket_item
0,3,male,26.0,1,0,14.4542,C,2680,NONE
1,3,male,32.0,0,0,56.4958,S,1601,NONE
0,3,male,25.0,0,0,7.65,S,348123,NONE
0,3,male,28.0,0,0,7.8958,S,349208,NONE
0,3,male,28.0,0,0,8.05,S,374746,NONE
1,2,male,0.83,0,2,29.0,S,248738,NONE
1,3,female,30.0,0,0,12.475,S,364516,NONE
0,3,male,22.0,0,0,9.0,S,345767,NONE
1,3,male,29.0,0,0,9.5,S,345779,NONE
1,3,female,28.0,0,0,7.7875,Q,330932,NONE
0,1,male,28.0,0,0,47.1,S,113059,NONE
1,2,female,17.0,0,0,10.5,S,14885,SO/C
1,3,female,33.0,3,0,15.85,S,3101278,NONE
0,3,male,16.0,1,3,34.375,S,6608,W./C.
0,3,male,28.0,0,0,8.05,S,392086,SOTON/OQ
1,1,female,23.0,3,2,263.0,S,19950,NONE
0,3,male,24.0,0,0,8.05,S,343275,NONE
0,3,male,29.0,0,0,8.05,S,343276,NONE
0,3,male,20.0,0,0,7.8542,S,347466,NONE
0,1,male,46.0,1,0,61.175,S,5734,W.E.P.
0,3,male,26.0,1,2,20.575,S,2315,C.A.
0,3,male,59.0,0,0,7.25,S,364500,NONE
0,3,male,28.0,0,0,8.05,S,374910,NONE
0,1,male,71.0,0,0,34.6542,C,17754,PC
1,1,male,23.0,0,1,63.3583,C,17759,PC
1,2,female,34.0,0,1,23.0,S,231919,NONE
0,2,male,34.0,1,0,26.0,S,244367,NONE
0,3,female,28.0,0,0,7.8958,S,349245,NONE
0,3,male,28.0,0,0,7.8958,S,349215,NONE
0,1,male,21.0,0,1,77.2875,S,35281,NONE
0,3,male,33.0,0,0,8.6542,S,7540,NONE
0,3,male,37.0,2,0,7.925,S,3101276,NONE
0,3,male,28.0,0,0,7.8958,S,349207,NONE
1,3,female,21.0,0,0,7.65,S,343120,NONE
1,3,male,28.0,0,0,7.775,S,312991,NONE
0,3,male,38.0,0,0,7.8958,S,349249,NONE
1,3,female,28.0,1,0,24.15,Q,371110,NONE
0,1,male,47.0,0,0,52.0,S,110465,NONE
0,3,female,14.5,1,0,14.4542,C,2665,NONE
0,3,male,22.0,0,0,8.05,S,324669,NONE
0,3,female,20.0,1,0,9.825,S,4136,NONE
0,3,female,17.0,0,0,14.4583,C,2627,NONE
0,3,male,21.0,0,0,7.925,S,3101294,STON/O_2.
0,3,male,70.5,0,0,7.75,Q,370369,NONE
0,2,male,29.0,1,0,21.0,S,11668,NONE
0,1,male,24.0,0,1,247.5208,C,17558,PC
0,3,female,2.0,4,2,31.275,S,347082,NONE
0,2,male,21.0,2,0,73.5,S,14879,S.O.C.
0,3,male,28.0,0,0,8.05,S,54510,A4.
0,2,male,32.5,1,0,30.0708,C,237736,NONE
1,2,female,32.5,0,0,13.0,S,27267,NONE
0,1,male,54.0,0,1,77.2875,S,35281,NONE
1,3,male,12.0,1,0,11.2417,C,2651,NONE
0,3,male,28.0,0,0,7.75,Q,370372,NONE
1,3,male,24.0,0,0,7.1417,S,17369,C
1,3,female,28.0,1,1,22.3583,C,2668,NONE
0,3,male,45.0,0,0,6.975,S,347061,NONE
0,3,male,33.0,0,0,7.8958,C,349241,NONE
0,3,male,20.0,0,0,7.05,S,3101307,SOTON/O.Q.
0,3,female,47.0,1,0,14.5,S,3337,A/5.
1,2,female,29.0,1,0,26.0,S,228414,NONE
0,2,male,25.0,0,0,13.0,S,29178,C.A.
0,2,male,23.0,0,0,15.0458,C,2133,SC/PARIS
1,1,female,19.0,0,2,26.2833,S,11752,NONE
0,1,male,37.0,1,0,53.1,S,113803,NONE
0,3,male,16.0,0,0,9.2167,S,7534,NONE
0,1,male,24.0,0,0,79.2,C,17593,PC
0,3,female,28.0,0,2,15.2458,C,2678,NONE
1,3,female,22.0,0,0,7.75,S,347081,NONE
1,3,female,24.0,1,0,15.85,S,3101279,STON/O2.
0,3,male,19.0,0,0,6.75,Q,365222,NONE
0,2,male,18.0,0,0,11.5,S,231945,NONE
0,2,male,19.0,1,1,36.75,S,33112,C.A.
1,3,male,27.0,0,0,7.7958,S,350043,NONE
0,3,female,9.0,2,2,34.375,S,6608,W./C.
0,2,male,36.5,0,2,26.0,S,230080,NONE
0,2,male,42.0,0,0,13.0,S,244310,NONE
0,2,male,51.0,0,0,12.525,S,1166,S.O.P.
1,1,female,22.0,1,0,66.6,S,113776,NONE
0,3,male,55.5,0,0,8.05,S,11206,A.5.
0,3,male,40.5,0,2,14.5,S,851,A/5.
0,3,male,28.0,0,0,7.3125,S,265302,Fa
0,1,male,51.0,0,1,61.3792,C,17597,PC
1,3,female,16.0,0,0,7.7333,Q,35851,NONE
0,3,male,30.0,0,0,8.05,S,392090,SOTON/OQ
0,3,male,28.0,0,0,8.6625,S,315037,NONE
0,3,male,28.0,8,2,69.55,S,2343,CA.
0,3,male,44.0,0,1,16.1,S,371362,NONE
1,2,female,40.0,0,0,15.75,S,33595,C.A.
0,3,male,26.0,0,0,7.775,S,347068,NONE
0,3,male,17.0,0,0,8.6625,S,315093,NONE
0,3,male,1.0,4,1,39.6875,S,3101295,NONE
1,3,male,9.0,0,2,20.525,S,363291,NONE
1,1,female,28.0,0,1,55.0,S,113505,NONE
0,3,female,45.0,1,4,27.9,S,347088,NONE
0,1,male,28.0,0,0,25.925,S,17318,PC
0,3,male,28.0,0,0,56.4958,S,1601,NONE
0,1,male,61.0,0,0,33.5,S,111240,NONE
0,3,male,4.0,4,1,29.125,Q,382652,NONE
1,3,female,1.0,1,1,11.1333,S,347742,NONE
0,3,male,21.0,0,0,7.925,S,3101280,STON/O_2.
0,1,male,56.0,0,0,30.6958,C,17764,NONE
0,3,male,18.0,1,1,7.8542,S,350404,NONE
0,3,male,28.0,3,1,25.4667,S,4133,NONE
0,1,female,50.0,0,0,28.7125,C,17595,PC
0,2,male,30.0,0,0,13.0,S,250653,NONE
0,3,male,36.0,0,0,0.0,S,LINE,NONE
0,3,female,28.0,8,2,69.55,S,2343,CA.
0,2,male,28.0,0,0,15.05,C,2131,SC/PARIS
0,3,male,9.0,4,2,31.3875,S,347077,NONE
1,2,male,1.0,2,1,39.0,S,230136,NONE
1,3,female,4.0,0,2,22.025,S,315153,NONE
0,1,male,28.0,0,0,50.0,S,113767,NONE
1,3,female,28.0,1,0,15.5,Q,370365,NONE
1,1,male,45.0,0,0,26.55,S,111428,NONE
0,3,male,40.0,1,1,15.5,Q,364849,NONE
0,3,male,36.0,0,0,7.8958,S,349247,NONE
1,2,female,32.0,0,0,13.0,S,234604,NONE
0,2,male,19.0,0,0,13.0,S,28424,NONE
1,3,female,19.0,1,0,7.8542,S,350046,NONE
1,2,male,3.0,1,1,26.0,S,230080,NONE
1,1,female,44.0,0,0,27.7208,C,17610,PC
1,1,female,58.0,0,0,146.5208,C,17569,PC
0,3,male,28.0,0,0,7.75,Q,368703,NONE
0,3,male,42.0,0,1,8.4042,S,4579,NONE
1,3,female,28.0,0,0,7.75,Q,370370,NONE
0,2,female,24.0,0,0,13.0,S,248747,NONE
0,3,male,28.0,0,0,9.5,S,345770,NONE
0,3,male,28.0,8,2,69.55,S,2343,CA.
0,3,male,34.0,0,0,6.4958,S,3101264,NONE
0,3,male,45.5,0,0,7.225,C,2628,NONE
1,3,male,18.0,0,0,8.05,S,3540,A/5
0,3,female,2.0,0,1,10.4625,S,347054,NONE
0,3,male,32.0,1,0,15.85,S,3101278,NONE
1,3,male,26.0,0,0,18.7875,C,2699,NONE
1,3,female,16.0,0,0,7.75,Q,367231,NONE
1,1,male,40.0,0,0,31.0,C,112277,NONE
0,3,male,24.0,0,0,7.05,S,3101311,SOTON/O.Q.
1,2,female,35.0,0,0,21.0,S,13528,F.C.C.
0,3,male,22.0,0,0,7.25,S,21174,A/5
0,2,male,30.0,0,0,13.0,S,250646,NONE
0,3,male,28.0,1,0,7.75,Q,367229,NONE
1,1,female,31.0,1,0,113.275,C,35273,NONE
1,3,female,27.0,0,0,7.925,S,3101283,STON/O2.
0,2,male,42.0,1,0,27.0,S,243847,NONE
1,1,female,32.0,0,0,76.2917,C,11813,NONE
0,2,male,30.0,0,0,10.5,S,14208,W/C
1,3,male,16.0,0,0,8.05,S,392089,SOTON/OQ
0,2,male,27.0,0,0,13.0,S,220367,NONE
0,3,male,51.0,0,0,8.05,S,21440,NONE
0,3,male,28.0,0,0,7.8958,S,349234,NONE
1,1,male,38.0,1,0,90.0,S,19943,NONE
0,3,male,22.0,0,0,9.35,S,4348,PP
1,2,male,19.0,0,0,10.5,S,751,SW/PP
0,3,male,20.5,0,0,7.25,S,21173,A/5
0,2,male,18.0,0,0,13.0,S,236171,NONE
0,3,female,28.0,3,1,25.4667,S,4133,NONE
1,1,female,35.0,1,0,83.475,S,36973,NONE
0,3,male,29.0,0,0,7.775,S,347067,NONE
0,2,male,59.0,0,0,13.5,S,237442,NONE
1,3,female,5.0,4,2,31.3875,S,347077,NONE
0,2,male,24.0,0,0,10.5,S,29566,C.A.
0,3,female,28.0,0,0,7.55,S,6609,W./C.
0,2,male,44.0,1,0,26.0,S,26707,NONE
1,2,female,8.0,0,2,26.25,S,31921,C.A.
0,2,male,19.0,0,0,10.5,S,28665,NONE
0,2,male,33.0,0,0,12.275,S,1585,SCO/W
0,3,female,28.0,1,0,14.4542,C,2665,NONE
1,3,female,28.0,1,0,15.5,Q,367230,NONE
0,2,male,29.0,0,0,10.5,S,14263,W./C.
0,3,male,22.0,0,0,7.125,S,3101275,STON/O_2.
0,3,male,30.0,0,0,7.225,C,2694,NONE
0,1,male,44.0,2,0,90.0,Q,19928,NONE
0,3,female,25.0,0,0,7.775,S,347071,NONE
1,2,female,24.0,0,2,14.5,S,250649,NONE
1,1,male,37.0,1,1,52.5542,S,11751,NONE
0,2,male,54.0,1,0,26.0,S,244252,NONE
0,3,male,28.0,0,0,7.25,S,362316,NONE
0,3,female,29.0,1,1,10.4625,S,347054,NONE
0,1,male,62.0,0,0,26.55,S,113514,NONE
0,3,male,30.0,1,0,16.1,S,3336,A/5.
0,3,female,41.0,0,2,20.2125,S,370129,NONE
1,3,female,29.0,0,2,15.2458,C,2650,NONE
1,1,female,28.0,0,0,79.2,C,17585,PC
1,1,female,30.0,0,0,86.5,S,110152,NONE
1,1,female,35.0,0,0,512.3292,C,17755,PC
1,2,female,50.0,0,1,26.0,S,230433,NONE
0,3,male,28.0,0,0,7.75,Q,384461,NONE
1,3,male,3.0,4,2,31.3875,S,347077,NONE
0,1,male,52.0,1,1,79.65,S,110413,NONE
0,1,male,40.0,0,0,0.0,S,112059,NONE
0,3,female,28.0,0,0,7.75,Q,382649,NONE
0,2,male,36.0,0,0,10.5,S,17248,C.A.
0,3,male,16.0,4,1,39.6875,S,3101295,NONE
1,3,male,25.0,1,0,7.775,S,347083,NONE
1,1,female,58.0,0,1,153.4625,S,17582,PC
1,1,female,35.0,0,0,135.6333,S,17760,PC
0,1,male,28.0,0,0,31.0,S,113798,NONE
1,3,male,25.0,0,0,0.0,S,LINE,NONE
1,2,female,41.0,0,1,19.5,S,250644,NONE
0,1,male,37.0,0,1,29.7,C,17596,PC
1,3,female,28.0,0,0,7.75,Q,370375,NONE
1,1,female,63.0,1,0,77.9583,S,13502,NONE
0,3,female,45.0,0,0,7.75,S,347073,NONE
0,2,male,28.0,0,0,0.0,S,239853,NONE
0,3,male,7.0,4,1,29.125,Q,382652,NONE
1,3,female,35.0,1,1,20.25,S,2673,C.A.
0,3,male,65.0,0,0,7.75,Q,336439,NONE
0,3,male,28.0,0,0,7.8542,S,347464,NONE
0,3,male,16.0,0,0,9.5,S,345778,NONE
1,3,male,19.0,0,0,8.05,S,10482,A/5.
0,1,male,28.0,0,0,26.0,S,113056,NONE
0,3,male,33.0,0,0,8.6625,C,349239,NONE
1,3,male,30.0,0,0,9.5,S,345774,NONE
0,3,male,22.0,0,0,7.8958,S,349206,NONE
1,2,male,42.0,0,0,13.0,S,237798,NONE
1,3,female,22.0,0,0,7.75,Q,370373,NONE
1,1,female,26.0,0,0,78.85,S,19877,NONE
1,1,female,19.0,1,0,91.0792,C,11967,NONE
0,2,male,36.0,0,0,12.875,C,2163,SC/Paris
0,3,female,24.0,0,0,8.85,S,349236,NONE
0,3,male,24.0,0,0,7.8958,S,349233,NONE
0,1,male,28.0,0,0,27.7208,C,17612,PC
0,3,male,23.5,0,0,7.2292,C,2693,NONE
0,1,female,2.0,1,2,151.55,S,113781,NONE
1,1,male,28.0,0,0,30.5,S,19988,NONE
1,1,female,50.0,0,1,247.5208,C,17558,PC
1,3,female,28.0,0,0,7.75,Q,9234,NONE
1,3,male,28.0,2,0,23.25,Q,367226,NONE
0,3,male,19.0,0,0,0.0,S,LINE,NONE
1,2,female,28.0,0,0,12.35,Q,226593,NONE
0,3,male,28.0,0,0,8.05,S,2466,A/5
1,1,male,0.92,1,2,151.55,S,113781,NONE
1,1,female,28.0,0,0,110.8833,C,17421,NONE
1,1,female,17.0,1,0,108.9,C,17758,PC
0,2,male,30.0,1,0,24.0,C,3381,P/PP
1,1,female,30.0,0,0,56.9292,C,17485,PC
1,1,female,24.0,0,0,83.1583,C,11767,NONE
1,1,female,18.0,2,2,262.375,C,17608,PC
0,2,female,26.0,1,1,26.0,S,250651,NONE
0,3,male,28.0,0,0,7.8958,S,349243,NONE
0,2,male,43.0,1,1,26.25,S,13529,F.C.C.
1,3,female,26.0,0,0,7.8542,S,347470,NONE
1,2,female,24.0,1,0,26.0,S,244367,NONE
0,2,male,54.0,0,0,14.0,S,29011,NONE
1,1,female,31.0,0,2,164.8667,S,36928,NONE
1,1,female,40.0,1,1,134.5,C,16966,NONE
0,3,male,22.0,0,0,7.25,S,21172,A/5
0,3,male,27.0,0,0,7.8958,S,349219,NONE
1,2,female,30.0,0,0,12.35,Q,234818,NONE
1,2,female,22.0,1,1,29.0,S,248738,NONE
0,3,male,28.0,8,2,69.55,S,2343,CA.
1,1,female,36.0,0,0,135.6333,C,17760,PC
0,3,male,61.0,0,0,6.2375,S,345364,NONE
1,2,female,36.0,0,0,13.0,S,28551,NONE
1,3,female,31.0,1,1,20.525,S,363291,NONE
1,1,female,16.0,0,1,57.9792,C,111361,NONE
1,3,female,28.0,2,0,23.25,Q,367226,NONE
0,1,male,45.5,0,0,28.5,S,113043,NONE
0,1,male,38.0,0,1,153.4625,S,17582,PC
0,3,male,16.0,2,0,18.0,S,345764,NONE
1,1,female,28.0,1,0,133.65,S,17611,PC
0,3,male,28.0,0,0,7.8958,S,349225,NONE
0,1,male,29.0,1,0,66.6,S,113776,NONE
1,1,female,41.0,0,0,134.5,C,16966,NONE
1,3,male,45.0,0,0,8.05,S,7598,NONE
0,1,male,45.0,0,0,35.5,S,113784,NONE
1,2,male,2.0,1,1,26.0,S,230080,NONE
1,1,female,24.0,3,2,263.0,S,19950,NONE
0,2,male,28.0,0,0,13.0,S,248740,NONE
0,2,male,25.0,0,0,13.0,S,244361,NONE
0,2,male,36.0,0,0,13.0,S,229236,NONE
1,2,female,24.0,0,0,13.0,S,248733,NONE
1,2,female,40.0,0,0,13.0,S,31418,NONE
1,3,female,28.0,1,0,16.1,S,386525,NONE
1,3,male,3.0,1,1,15.9,S,37671,C.A.
0,3,male,42.0,0,0,8.6625,S,315088,NONE
0,3,male,23.0,0,0,9.225,S,7267,NONE
0,1,male,28.0,0,0,35.0,S,113510,NONE
0,3,male,15.0,1,1,7.2292,C,2695,NONE
0,3,male,25.0,1,0,17.8,S,349237,NONE
0,3,male,28.0,0,0,7.225,C,2647,NONE
0,3,male,28.0,0,0,9.5,S,345783,NONE
1,1,female,22.0,0,1,55.0,S,113505,NONE
0,2,female,38.0,0,0,13.0,S,237671,NONE
1,3,female,28.0,0,0,7.8792,Q,330931,NONE
1,3,female,28.0,0,0,7.8792,Q,330980,NONE
0,3,male,40.0,1,4,27.9,S,347088,NONE
0,2,male,29.0,1,0,27.7208,C,2167,SC/PARIS
0,3,female,45.0,0,1,14.4542,C,2691,NONE
0,3,male,35.0,0,0,7.05,S,3101310,SOTON/O.Q.
0,3,male,28.0,1,0,15.5,Q,370365,NONE
0,3,male,30.0,0,0,7.25,S,7076,C
1,1,female,60.0,1,0,75.25,C,110813,NONE
1,3,female,28.0,0,0,7.2292,C,2626,NONE
1,3,female,28.0,0,0,7.75,Q,14313,NONE
1,1,female,24.0,0,0,69.3,C,17477,PC
1,1,male,25.0,1,0,55.4417,C,11765,NONE
0,3,male,18.0,1,0,6.4958,S,3101267,NONE
0,3,male,19.0,0,0,8.05,S,323951,NONE
0,1,male,22.0,0,0,135.6333,C,17760,PC
0,3,female,3.0,3,1,21.075,S,349909,NONE
1,1,female,28.0,1,0,82.1708,C,17604,PC
1,3,female,22.0,0,0,7.25,S,7077,C
0,1,male,27.0,0,2,211.5,C,113503,NONE
0,3,male,20.0,0,0,4.0125,C,2648,NONE
0,3,male,19.0,0,0,7.775,S,347069,NONE
1,1,female,42.0,0,0,227.525,C,17757,PC
1,3,female,1.0,0,2,15.7417,C,2653,NONE
0,3,male,32.0,0,0,7.925,S,3101293,STON/O_2.
1,1,female,35.0,1,0,52.0,S,113789,NONE
0,3,male,28.0,0,0,7.8958,S,349227,NONE
0,2,male,18.0,0,0,73.5,S,14879,S.O.C.
0,3,male,1.0,5,2,46.9,S,2144,CA
1,2,female,36.0,0,0,13.0,S,27849,NONE
0,3,male,28.0,0,0,7.7292,Q,367655,NONE
1,2,female,17.0,0,0,12.0,C,1748,SC
1,1,male,36.0,1,2,120.0,S,113760,NONE
1,3,male,21.0,0,0,7.7958,S,350034,NONE
0,3,male,28.0,2,0,7.925,S,3101277,NONE
1,1,female,23.0,1,0,113.275,C,35273,NONE
1,3,female,24.0,0,2,16.7,S,9549,PP
0,3,male,22.0,0,0,7.7958,S,350052,NONE
0,3,female,31.0,0,0,7.8542,S,350407,NONE
0,2,male,46.0,0,0,26.0,S,28403,NONE
0,2,male,23.0,0,0,10.5,S,244278,NONE
1,2,female,28.0,0,0,12.65,S,240929,NONE
1,3,male,39.0,0,0,7.925,S,3101289,STON/O_2.
0,3,male,26.0,0,0,8.05,S,341826,NONE
0,3,female,21.0,1,0,9.825,S,4137,NONE
0,3,male,28.0,1,0,15.85,S,3101279,STON/O2.
0,3,female,20.0,0,0,8.6625,S,315096,NONE
0,2,male,34.0,1,0,21.0,S,28664,NONE
0,3,male,51.0,0,0,7.75,S,347064,NONE
1,2,male,3.0,1,1,18.75,S,29106,NONE
0,3,male,21.0,0,0,7.775,S,312992,NONE
0,3,female,28.0,3,1,25.4667,S,4133,NONE
0,3,male,28.0,0,0,7.8958,S,349222,NONE
0,3,male,28.0,0,0,6.8583,Q,394140,NONE
1,1,female,33.0,1,0,90.0,Q,19928,NONE
0,2,male,28.0,0,0,0.0,S,239853,NONE
1,3,male,44.0,0,0,7.925,S,3101269,STON/O_2.
0,3,female,28.0,0,0,8.05,S,343095,NONE
1,2,female,34.0,1,1,32.5,S,28220,NONE
1,2,female,18.0,0,2,13.0,S,250652,NONE
0,2,male,30.0,0,0,13.0,S,28228,NONE
0,3,female,10.0,0,2,24.15,S,345773,NONE
0,3,male,28.0,0,0,7.8958,C,349254,NONE
0,3,male,21.0,0,0,7.7333,Q,13032,A/5.
0,3,male,29.0,0,0,7.875,S,315082,NONE
0,3,female,28.0,1,1,14.4,S,347080,NONE
0,3,male,18.0,1,1,20.2125,S,370129,NONE
0,3,male,28.0,0,0,7.25,S,34244,A/4.
1,2,female,28.0,1,0,26.0,S,2003,NONE
1,2,female,19.0,0,0,26.0,S,250655,NONE
0,3,male,28.0,0,0,7.75,Q,364851,NONE
1,3,male,32.0,0,0,8.05,S,392078,SOTON/O.Q.
1,1,male,28.0,0,0,26.55,S,110564,NONE
1,3,female,28.0,1,0,16.1,S,376564,NONE
1,2,female,42.0,1,0,26.0,S,3085,SC/AH
0,3,male,17.0,0,0,7.125,S,3101274,STON/O_2.
0,1,male,50.0,1,0,55.9,S,13507,NONE
1,1,female,14.0,1,2,120.0,S,113760,NONE
0,3,female,21.0,2,2,34.375,S,6608,W./C.
1,2,female,24.0,2,3,18.75,S,29106,NONE
0,1,male,64.0,1,4,263.0,S,19950,NONE
0,2,male,31.0,0,0,10.5,S,18723,C.A.
1,2,female,45.0,1,1,26.25,S,13529,F.C.C.
0,3,male,20.0,0,0,9.5,S,345769,NONE
0,3,male,25.0,1,0,7.775,S,347076,NONE
1,2,female,28.0,0,0,13.0,S,230434,NONE
1,3,male,28.0,0,0,8.1125,S,65306,NONE
1,1,male,4.0,0,2,81.8583,S,33638,NONE
1,2,female,13.0,0,1,19.5,S,250644,NONE
1,1,male,34.0,0,0,26.55,S,113794,NONE
1,3,female,5.0,2,1,19.2583,C,2666,NONE
1,1,male,52.0,0,0,30.5,S,113786,NONE
0,2,male,36.0,1,2,27.75,S,34651,C.A.
0,3,male,28.0,1,0,19.9667,S,65303,NONE
0,1,male,30.0,0,0,27.75,C,113051,NONE
1,1,male,49.0,1,0,89.1042,C,17453,NONE
0,3,male,28.0,0,0,8.05,S,2817,A/5
1,3,male,29.0,0,0,7.8958,C,349240,NONE
0,1,male,65.0,0,0,26.55,S,13509,NONE
1,1,female,28.0,1,0,51.8625,S,17464,NONE
1,2,female,50.0,0,0,10.5,S,13531,F.C.C.
0,3,male,28.0,0,0,7.75,Q,371060,NONE
1,1,male,48.0,0,0,26.55,S,19952,NONE
0,3,male,34.0,0,0,8.05,S,364506,NONE
0,1,male,47.0,0,0,38.5,S,111320,NONE
0,2,male,48.0,0,0,13.0,S,234360,NONE
0,3,male,28.0,0,0,8.05,S,2816,A/S
0,3,male,38.0,0,0,7.05,S,3101306,SOTON/O.Q.
0,2,male,28.0,0,0,0.0,S,239853,NONE
0,1,male,56.0,0,0,26.55,S,113792,NONE
0,3,male,28.0,0,0,7.725,Q,36209,NONE
1,3,female,0.75,2,1,19.2583,C,2666,NONE
0,3,male,28.0,0,0,7.25,S,323592,NONE
0,3,male,38.0,0,0,8.6625,S,315089,NONE
1,2,female,33.0,1,2,27.75,S,34651,C.A.
1,2,female,23.0,0,0,13.7917,C,541,SC/AH_Basle
0,3,female,22.0,0,0,9.8375,S,7553,NONE
0,1,male,28.0,0,0,52.0,S,110465,NONE
0,2,male,34.0,1,0,21.0,S,31027,NONE
0,3,male,29.0,1,0,7.0458,S,3460,NONE
0,3,male,22.0,0,0,7.5208,S,350060,NONE
1,3,female,2.0,0,1,12.2875,S,3101298,NONE
0,3,male,9.0,5,2,46.9,S,2144,CA
0,2,male,28.0,0,0,0.0,S,239854,NONE
0,3,male,50.0,0,0,8.05,S,3594,A/5
1,3,female,63.0,0,0,9.5875,S,4134,NONE
1,1,male,25.0,1,0,91.0792,C,11967,NONE
0,3,female,28.0,3,1,25.4667,S,4133,NONE
1,1,female,35.0,1,0,90.0,S,19943,NONE
0,1,male,58.0,0,0,29.7,C,11771,NONE
0,3,male,30.0,0,0,8.05,S,18509,A.5.
1,3,male,9.0,1,1,15.9,S,37671,C.A.
0,3,male,28.0,1,0,19.9667,S,65304,NONE
0,3,male,21.0,0,0,7.25,S,3101317,SOTON/OQ
0,1,male,55.0,0,0,30.5,S,113787,NONE
0,1,male,71.0,0,0,49.5042,C,17609,PC
0,3,male,21.0,0,0,8.05,S,45380,A/4
0,3,male,28.0,0,0,14.4583,C,2627,NONE
1,1,female,54.0,1,0,78.2667,C,36947,NONE
0,3,male,28.0,0,0,15.1,S,6212,C.A.
0,1,female,25.0,1,2,151.55,S,113781,NONE
0,3,male,24.0,0,0,7.7958,S,350035,NONE
